youtube,facebook,newspaper,sales
197.69640729562323,-9.50953224703795,5.127423938991239,10.88172037327349
192.45479190581264,43.11704699289531,49.657012524043225,10.857669582891436
129.86542383597683,29.127562521641938,35.588764550675315,8.274343011824936
194.47179234189466,16.666881950645013,12.182639868958926,8.126394123954368
66.77870533831998,41.691242998738645,,8.024596961390419
37.47033287555632,8.013836991634161,63.10374015392312,-0.8985579629018314
73.23636611066581,8.838905722493855,20.619116700343817,2.963868951289456
24.702232961072013,17.47072247083648,2.672547750201538,1.1108037421180827
225.35900511618752,22.19701358211175,8.930140336965604,11.526224891914556
180.9082008581089,,15.055472189754425,7.689391581919265
175.30471676648415,7.291610846123067,98.47801171238973,1.788426222603718
290.4239062291502,37.18322819695868,9.891033866100042,14.17810418342185
247.88685998156322,36.30709645555537,-2.3644321156686345,11.425644721538026
,-7.716383482335164,59.096844338867655,5.382648790341304
243.04801154229114,10.017084259299867,-20.038947669957118,10.156229945022218
225.3633675236594,22.568452821562044,54.74791754444272,12.796515699436307
202.53179753725317,44.6154446102111,17.380078107637917,
,37.40721392011558,23.228984808636426,24.104906898689112
72.73614819313826,28.16085803787649,46.1257322461592,4.537283750336535
128.96434804693126,-11.347878155683592,14.765677511845773,6.033963858392145
-88.77960850458965,15.751515644934505,20.68671054120175,-3.4114827061924626
349.37542027339543,29.52452113566595,69.84918193290154,16.606732284343106
,48.434688727912174,85.93919121556911,12.209721803329568
286.32279910267414,17.554482029800226,,11.972041899923804
162.95508310304726,22.30041797165247,22.839297081278996,6.80408774873464
228.9092176268792,37.89327285087667,24.68714748875629,15.514904767761736
63.016789176473964,42.488137236200444,29.588470429607487,3.39545927797735
129.76336786440092,31.554794838592755,27.034755054004826,10.557819090036562
64.74205450986913,-3.537764234343932,45.426910517667025,0.21448617808578296
247.6455683989812,18.97803757538979,59.09530319031647,12.82711136710316
222.94271553914058,-0.0037048873467142585,33.38858436721347,14.375006454789933
,57.74257059739659,28.517410114316135,5.639324892744023
317.7766904696234,23.68186465693584,26.318669719131883,13.149491384137642
283.4576333301088,4.734097733996052,20.94366879557909,15.266596600510507
163.23138655051406,33.28181888718438,18.517386734999008,7.337976541340329
274.14785079399235,33.736256563212365,42.592152536189744,17.019705547863815
109.57545463388375,2.7978781616891197,29.721521035177872,3.708206725047007
171.80637667875217,3.2085485520673807,12.655472294855787,9.67986350651343
-21.96955650487405,21.367425332978097,45.595296355576195,0.44140369531502627
167.8605253162992,56.12949747438871,-3.220909108061605,7.1435961713310325
160.0048396977648,23.217991017991753,52.337540133785126,10.89916740264846
166.51308916483637,49.58131600441374,-13.75213428081085,8.220492639667661
